"","id_id","litter_dry","plot_indicator","range_class","range_score"
"494","maz_po_EA1",255.02,"G2","Excellent",86.1
"495","maz_po_EA1",202.66,"G3","Excellent",83.4
"496","maz_po_EA1",182.29,"G4","Excellent",84
"497","maz_po_EA1",218.96,"G5","Excellent",81.6
"498","maz_po_EA1",226.14,"G6","Excellent",83.1
"499","maz_po_EA1",235.49,"G7","Excellent",84.4
"500","maz_po_EA1",154.35,"G8","Good",70.8
"501","maz_po_EA1",175.52,"H1","Good",77.1
"502","maz_po_EA1",159.43,"H2","Good",77.7
"503","maz_po_EA1",211.88,"H3","Excellent",84.7
"504","maz_po_EA1",163.63,"H4","Excellent",84.8
"505","maz_po_EA1",198.28,"H5","Excellent",82.5
"506","maz_po_EA1",165.4,"H6","Good",77.1
"507","maz_po_EA1",168.85,"H7","Excellent",81.2
"508","maz_po_GA1",9.88,"A1","Poor",31.6
"509","maz_po_GA1",14.81,"A2","Poor",45
"510","maz_po_GA1",28.64,"A3","Poor",33.5
"511","maz_po_GA1",5.93,"A4","Poor",36.1
"512","maz_po_GA1",19.75,"A5","Very Poor",17.9
"513","maz_po_GA1",19.75,"A6","Very Poor",15.7
"514","maz_po_GA1",10.86,"A7","Very Poor",20.3
"515","maz_po_GA1",15.8,"A8","Very Poor",17.5
"516","maz_po_GA1",27.65,"B1","Very Poor",26.5
"517","maz_po_GA1",24.69,"B2","Poor",42.1
"518","maz_po_GA1",6.42,"B3","Fair",52.6
"519","maz_po_GA1",5.93,"B4","Poor",36.6
"520","maz_po_GA1",2.96,"B5","Very Poor",18.2
"521","maz_po_GA1",34.56,"B6","Very Poor",18.7
"522","maz_po_GA1",15.8,"B7","Very Poor",23.9
"523","maz_po_GA1",3.95,"B8","Very Poor",11
"524","maz_po_GA1",11.85,"C1","Poor",29.8
"525","maz_po_GA1",35.55,"C2","Poor",37.8
"526","maz_po_GA1",8.39,"C3","Poor",45.7
"527","maz_po_GA1",24.69,"C4","Very Poor",27.9
"528","maz_po_GA1",14.81,"C5","Very Poor",12
"529","maz_po_GA1",6.91,"C6","Very Poor",25.5
"530","maz_po_GA1",8.89,"C7","Very Poor",18.8
"531","maz_po_GA1",9.88,"C8","Very Poor",11.8
"532","maz_po_GA1",33.58,"D1","Poor",34.3
"533","maz_po_GA1",22.71,"D2","Poor",46.3
"534","maz_po_GA1",7.9,"D3","Fair",60.9
"535","maz_po_GA1",34.56,"D4","Poor",43
"536","maz_po_GA1",9.88,"D5","Very Poor",24.4
"537","maz_po_GA1",6.91,"D6","Poor",34.1
"538","maz_po_GA1",8.89,"D7","Very Poor",17.8
"539","maz_po_GA1",7.9,"D8","Very Poor",21.3
"540","maz_po_GA1",27.65,"E1","Poor",39.7
"541","maz_po_GA1",3.46,"E2","Poor",39.1
"542","maz_po_GA1",9.88,"E3","Poor",42.5
"543","maz_po_GA1",27.65,"E4","Very Poor",22.9
"544","maz_po_GA1",15.8,"E5","Poor",31
"545","maz_po_GA1",5.93,"E6","Poor",34.1
"546","maz_po_GA1",11.85,"E7","Very Poor",14
"547","maz_po_GA1",13.83,"E8","Very Poor",24.87
"548","maz_po_GA1",23.7,"F1","Fair",62.7
"549","maz_po_GA1",8.39,"F2","Fair",51.4
"550","maz_po_GA1",1.98,"F3","Poor",30.5
"551","maz_po_GA1",17.78,"F4","Very Poor",24
"552","maz_po_GA1",28.64,"F5","Very Poor",10.9
"553","maz_po_GA1",7.9,"F6","Poor",35
"554","maz_po_GA1",6.91,"F7","Very Poor",15
"555","maz_po_GA1",16.79,"F8","Very Poor",13.25
"556","maz_po_GA1",3.95,"G1","Poor",42
"557","maz_po_GA1",17.78,"G2","Fair",49.1
"558","maz_po_GA1",6.91,"G3","Poor",47.4
"559","maz_po_GA1",12.84,"G4","Poor",41.6
"560","maz_po_GA1",19.75,"G5","Very Poor",14.3
"561","maz_po_GA1",2.96,"G6","Poor",30.4
"562","maz_po_GA1",13.83,"G7","Poor",30.9
"563","maz_po_GA1",14.81,"G8","Very Poor",18.25
"564","maz_po_GA1",25.68,"H1","Poor",47.9
"565","maz_po_GA1",11.36,"H2","Poor",42.2
"566","maz_po_GA1",2.96,"H3","Poor",29.8
"567","maz_po_GA1",12.84,"H4","Poor",33.5
"568","maz_po_GA1",11.85,"H5","Very Poor",10.9
"569","maz_po_GA1",6.91,"H6","Poor",33
"570","maz_po_GA1",5.93,"H7","Very Poor",18.4
"571","maz_po_GA2",19.87,"A1","Good",72.6
"572","maz_po_GA2",24.8,"A2","Fair",65.6
"573","maz_po_GA2",34.13,"A3","Excellent",81.7
"574","maz_po_GA2",26.91,"A4","Good",71.3
"575","maz_po_GA2",24.75,"A5","Good",78.1
"576","maz_po_GA2",28.74,"A6","Excellent",85.5
"577","maz_po_GA2",17.35,"A7","Excellent",84.9
"578","maz_po_GA2",25.79,"A8","Excellent",84.3
"579","maz_po_GA2",37.14,"B1","Good",72.2
"580","maz_po_GA2",31.18,"B2","Fair",59.1
"581","maz_po_GA2",25.9,"B3","Good",72.8
"582","maz_po_GA2",21.92,"B4","Fair",53.71
"583","maz_po_GA2",8.95,"B5","Good",70.4
"584","maz_po_GA2",39.56,"B6","Good",78.9
"585","maz_po_GA2",22.29,"B7","Excellent",81.23
"586","maz_po_GA2",10.44,"B8","Excellent",81
"587","maz_po_GA2",20.34,"C1","Poor",46.5
"588","maz_po_GA2",81.51,"C2","Good",70.5
"589","maz_po_GA2",36.36,"C3","Fair",51.6
"590","maz_po_GA2",30.18,"C4","Fair",61.043
"591","maz_po_GA2",18.31,"C5","Fair",58.5
"592","maz_po_GA2",30.89,"C6","Fair",55.7
"593","maz_po_GA2",16.38,"C7","Fair",64.7
"594","maz_po_GA2",17.87,"C8","Fair",58.8
"595","maz_po_GA2",52.06,"D1","Fair",62.6
"596","maz_po_GA2",57.68,"D2","Fair",61.3
"597","maz_po_GA2",18.39,"D3","Fair",54.54
"598","maz_po_GA2",51.04,"D4","Fair",64.1
"599","maz_po_GA2",11.88,"D5","Good",71
"600","maz_po_GA2",13.9,"D6","Fair",68.9
"601","maz_po_GA2",18.38,"D7","Fair",65.6
"602","maz_po_GA2",14.39,"D8","Good",78
"603","maz_po_GA2",55.62,"E1","Fair",64.5
"604","maz_po_GA2",16.45,"E2","Fair",67.2
"605","maz_po_GA2",32.86,"E3","Good",69.9
"606","maz_po_GA2",34.14,"E4","Good",73.11
"607","maz_po_GA2",24.29,"E5","Good",71
"608","maz_po_GA2",24.91,"E6","Good",73.1
"609","maz_po_GA2",16.85,"E7","Fair",57.7
"610","maz_po_GA2",17,"E8","Fair",68
"611","maz_po_GA2",41.68,"F1","Fair",58.8
"612","maz_po_GA2",15.88,"F2","Poor",46
"613","maz_po_GA2",19.96,"F3","Fair",61.4
"614","maz_po_GA2",22.28,"F4","Fair",67.28
"615","maz_po_GA2",32.14,"F5","Fair",55.55
"616","maz_po_GA2",30.88,"F6","Good",77.6
"617","maz_po_GA2",20.9,"F7","Fair",59.9
"618","maz_po_GA2",26.95,"F8","Poor",48.7
"619","maz_po_GA2",7.95,"G1","Poor",47
"620","maz_po_GA2",24.27,"G2","Fair",61.6
"621","maz_po_GA2",34.88,"G3","Fair",58.9
"622","maz_po_GA2",25.33,"G4","Fair",65.67
"623","maz_po_GA2",24.25,"G5","Fair",62.1
"624","maz_po_GA2",8.95,"G6","Good",74.8
"625","maz_po_GA2",31.81,"G7","Fair",55.6
"626","maz_po_GA2",25.09,"G8","Fair",54.8
"627","maz_po_GA2",58.65,"H1","Fair",64.5
"628","maz_po_GA2",20.85,"H2","Good",70.4
"629","maz_po_GA2",11.45,"H3","Excellent",87
"630","maz_po_GA2",23.33,"H4","Good",71.23
"631","maz_po_GA2",23.84,"H5","Fair",66.3
"632","maz_po_GA2",15.9,"H6","Fair",58.3
"633","maz_po_GA2",18.92,"H7","Poor",47.9
