"","id_id","litter_dry","plot_indicator","range_class","range_score"
"99","masouleh_EA2",9.4208,"E3","Excellent",104
"100","masouleh_EA2",11.0592,"E4","Excellent",83.4
"101","masouleh_EA2",10.0352,"E5","Excellent",82.5
"102","masouleh_EA2",5.3248,"E6","Good",74.5
"103","masouleh_EA2",5.3248,"E7","Good",75.1
"104","masouleh_EA2",8.3968,"E8","Good",71.4
"105","masouleh_EA2",9.4208,"F1","Good",79.7
"106","masouleh_EA2",11.4688,"F2","Excellent",81.9
"107","masouleh_EA2",10.6496,"F3","Fair",66
"108","masouleh_EA2",11.4688,"F4","Good",76.2
"109","masouleh_EA2",10.4448,"F5","Good",74.6
"110","masouleh_EA2",9.0112,"F6","Fair",69.3
"111","masouleh_EA2",5.3248,"F7","Fair",58.5
"112","masouleh_EA2",11.0592,"F8","Excellent",86.5
"113","masouleh_EA2",9.4208,"G1","Good",77.9
"114","masouleh_EA2",10.4448,"G2","Good",77.1
"115","masouleh_EA2",10.4448,"G3","Fair",67
"116","masouleh_EA2",11.4688,"G4","Excellent",87.3
"117","masouleh_EA2",10.0352,"G5","Good",69.3
"118","masouleh_EA2",12.9024,"G6","Good",79.2
"119","masouleh_EA2",9.4208,"G7","Good",75.7
"120","masouleh_EA2",13.1072,"G8","Excellent",81.5
"121","masouleh_EA2",13.1072,"H1","Good",78.7
"122","masouleh_EA2",14.7456,"H2","Good",75.2
"123","masouleh_EA2",17.408,"H3","Excellent",80.7
"124","masouleh_EA2",12.9024,"H4","Fair",66.5
"125","masouleh_EA2",9.216,"H5","Fair",64.4
"126","masouleh_EA2",8.8064,"H6","Fair",69.8
"127","masouleh_EA2",9.216,"H7","Excellent",81.4
"128","masouleh_EA2",10.24,"H8","Excellent",97.2
"129","masouleh_GA1",4.93,"A1","Poor",33.1
"130","masouleh_GA1",3.94,"A2","Poor",48.9
"131","masouleh_GA1",8.87,"A3","Poor",40.6
"132","masouleh_GA1",10.84,"A4","Very Poor",28.5
"133","masouleh_GA1",8.87,"A5","Very Poor",23.7
"134","masouleh_GA1",10.84,"A6","Poor",30.4
"135","masouleh_GA1",6.9,"A7","Very Poor",28.8
"136","masouleh_GA1",7.88,"A8","Poor",46
"137","masouleh_GA1",6.9,"B1","Very Poor",23.5
"138","masouleh_GA1",7.88,"B2","Poor",31.6
