"","col","row","range_score","range_class","id_id"
"108","F","4",76.2,"Good","masouleh_EA2"
"109","F","5",74.6,"Good","masouleh_EA2"
"110","F","6",69.3,"Fair","masouleh_EA2"
"111","F","7",58.5,"Fair","masouleh_EA2"
"112","F","8",86.5,"Excellent","masouleh_EA2"
"113","G","1",77.9,"Good","masouleh_EA2"
"114","G","2",77.1,"Good","masouleh_EA2"
"115","G","3",67,"Fair","masouleh_EA2"
"116","G","4",87.3,"Excellent","masouleh_EA2"
"117","G","5",69.3,"Good","masouleh_EA2"
"118","G","6",79.2,"Good","masouleh_EA2"
"119","G","7",75.7,"Good","masouleh_EA2"
"120","G","8",81.5,"Excellent","masouleh_EA2"
"121","H","1",78.7,"Good","masouleh_EA2"
"122","H","2",75.2,"Good","masouleh_EA2"
"123","H","3",80.7,"Excellent","masouleh_EA2"
"124","H","4",66.5,"Fair","masouleh_EA2"
"125","H","5",64.4,"Fair","masouleh_EA2"
"126","H","6",69.8,"Fair","masouleh_EA2"
"127","H","7",81.4,"Excellent","masouleh_EA2"
"128","H","8",97.2,"Excellent","masouleh_EA2"
"129","A","1",33.1,"Poor","masouleh_GA1"
"130","A","2",48.9,"Poor","masouleh_GA1"
"131","A","3",40.6,"Poor","masouleh_GA1"
"132","A","4",28.5,"Very Poor","masouleh_GA1"
"133","A","5",23.7,"Very Poor","masouleh_GA1"
"134","A","6",30.4,"Poor","masouleh_GA1"
"135","A","7",28.8,"Very Poor","masouleh_GA1"
"136","A","8",46,"Poor","masouleh_GA1"
"137","B","1",23.5,"Very Poor","masouleh_GA1"
"138","B","2",31.6,"Poor","masouleh_GA1"
"139","B","3",52.4,"Fair","masouleh_GA1"
"140","B","4",14,"Very Poor","masouleh_GA1"
"141","B","5",37.5,"Poor","masouleh_GA1"
"142","B","6",35.8,"Poor","masouleh_GA1"
"143","B","7",28.2,"Very Poor","masouleh_GA1"
"144","B","8",55.8,"Fair","masouleh_GA1"
"145","C","1",48.8,"Poor","masouleh_GA1"
"146","C","2",43.5,"Poor","masouleh_GA1"
"147","C","3",42.3,"Poor","masouleh_GA1"
"148","C","4",27.1,"Very Poor","masouleh_GA1"
"149","C","5",23,"Very Poor","masouleh_GA1"
"150","C","6",39.8,"Poor","masouleh_GA1"
"151","C","7",42,"Poor","masouleh_GA1"
"152","C","8",42,"Poor","masouleh_GA1"
"153","D","1",55.2,"Fair","masouleh_GA1"
"154","D","2",48.5,"Poor","masouleh_GA1"
"155","D","3",52.2,"Fair","masouleh_GA1"
"156","D","4",35.4,"Poor","masouleh_GA1"
"157","D","5",33.2,"Poor","masouleh_GA1"
"158","D","6",28.7,"Very Poor","masouleh_GA1"
"159","D","7",41.7,"Poor","masouleh_GA1"
"160","D","8",51.9,"Fair","masouleh_GA1"
"161","E","1",50,"Fair","masouleh_GA1"
"162","E","2",42.5,"Poor","masouleh_GA1"
"163","E","3",38.8,"Poor","masouleh_GA1"
"164","E","4",28.9,"Very Poor","masouleh_GA1"
"165","E","5",26.2,"Very Poor","masouleh_GA1"
"166","E","6",27.4,"Very Poor","masouleh_GA1"
"167","E","7",34.6,"Poor","masouleh_GA1"
"168","E","8",29.6,"Poor","masouleh_GA1"
"169","F","1",35.8,"Poor","masouleh_GA1"
"170","F","2",46.6,"Poor","masouleh_GA1"
"171","F","3",26.7,"Very Poor","masouleh_GA1"
"172","F","4",27,"Very Poor","masouleh_GA1"
"173","F","5",32.8,"Poor","masouleh_GA1"
"174","F","6",44.6,"Poor","masouleh_GA1"
"175","F","7",50.9,"Fair","masouleh_GA1"
"176","F","8",18.8,"Very Poor","masouleh_GA1"
"177","G","1",39.6,"Poor","masouleh_GA1"
"178","G","2",52.5,"Fair","masouleh_GA1"
"179","G","3",32.8,"Poor","masouleh_GA1"
"180","G","4",40.5,"Poor","masouleh_GA1"
"181","G","5",27.8,"Very Poor","masouleh_GA1"
"182","G","6",36.4,"Poor","masouleh_GA1"
"183","G","7",48.5,"Poor","masouleh_GA1"
"184","G","8",22.2,"Very Poor","masouleh_GA1"
"185","H","1",46.2,"Poor","masouleh_GA1"
