"","col","row","range_score","range_class","id_id"
"538","D","7",17.8,"Very Poor","maz_po_GA1"
"539","D","8",21.3,"Very Poor","maz_po_GA1"
"540","E","1",39.7,"Poor","maz_po_GA1"
"541","E","2",39.1,"Poor","maz_po_GA1"
"542","E","3",42.5,"Poor","maz_po_GA1"
"543","E","4",22.9,"Very Poor","maz_po_GA1"
"544","E","5",31,"Poor","maz_po_GA1"
"545","E","6",34.1,"Poor","maz_po_GA1"
"546","E","7",14,"Very Poor","maz_po_GA1"
"547","E","8",24.87,"Very Poor","maz_po_GA1"
"548","F","1",62.7,"Fair","maz_po_GA1"
"549","F","2",51.4,"Fair","maz_po_GA1"
"550","F","3",30.5,"Poor","maz_po_GA1"
"551","F","4",24,"Very Poor","maz_po_GA1"
"552","F","5",10.9,"Very Poor","maz_po_GA1"
"553","F","6",35,"Poor","maz_po_GA1"
"554","F","7",15,"Very Poor","maz_po_GA1"
"555","F","8",13.25,"Very Poor","maz_po_GA1"
"556","G","1",42,"Poor","maz_po_GA1"
"557","G","2",49.1,"Fair","maz_po_GA1"
"558","G","3",47.4,"Poor","maz_po_GA1"
"559","G","4",41.6,"Poor","maz_po_GA1"
"560","G","5",14.3,"Very Poor","maz_po_GA1"
"561","G","6",30.4,"Poor","maz_po_GA1"
"562","G","7",30.9,"Poor","maz_po_GA1"
"563","G","8",18.25,"Very Poor","maz_po_GA1"
"564","H","1",47.9,"Poor","maz_po_GA1"
"565","H","2",42.2,"Poor","maz_po_GA1"
"566","H","3",29.8,"Poor","maz_po_GA1"
"567","H","4",33.5,"Poor","maz_po_GA1"
"568","H","5",10.9,"Very Poor","maz_po_GA1"
"569","H","6",33,"Poor","maz_po_GA1"
"570","H","7",18.4,"Very Poor","maz_po_GA1"
"571","A","1",72.6,"Good","maz_po_GA2"
"572","A","2",65.6,"Fair","maz_po_GA2"
"573","A","3",81.7,"Excellent","maz_po_GA2"
"574","A","4",71.3,"Good","maz_po_GA2"
"575","A","5",78.1,"Good","maz_po_GA2"
"576","A","6",85.5,"Excellent","maz_po_GA2"
"577","A","7",84.9,"Excellent","maz_po_GA2"
"578","A","8",84.3,"Excellent","maz_po_GA2"
"579","B","1",72.2,"Good","maz_po_GA2"
"580","B","2",59.1,"Fair","maz_po_GA2"
"581","B","3",72.8,"Good","maz_po_GA2"
"582","B","4",53.71,"Fair","maz_po_GA2"
"583","B","5",70.4,"Good","maz_po_GA2"
"584","B","6",78.9,"Good","maz_po_GA2"
"585","B","7",81.23,"Excellent","maz_po_GA2"
"586","B","8",81,"Excellent","maz_po_GA2"
"587","C","1",46.5,"Poor","maz_po_GA2"
"588","C","2",70.5,"Good","maz_po_GA2"
"589","C","3",51.6,"Fair","maz_po_GA2"
"590","C","4",61.043,"Fair","maz_po_GA2"
"591","C","5",58.5,"Fair","maz_po_GA2"
"592","C","6",55.7,"Fair","maz_po_GA2"
"593","C","7",64.7,"Fair","maz_po_GA2"
"594","C","8",58.8,"Fair","maz_po_GA2"
"595","D","1",62.6,"Fair","maz_po_GA2"
"596","D","2",61.3,"Fair","maz_po_GA2"
"597","D","3",54.54,"Fair","maz_po_GA2"
"598","D","4",64.1,"Fair","maz_po_GA2"
"599","D","5",71,"Good","maz_po_GA2"
"600","D","6",68.9,"Fair","maz_po_GA2"
"601","D","7",65.6,"Fair","maz_po_GA2"
"602","D","8",78,"Good","maz_po_GA2"
"603","E","1",64.5,"Fair","maz_po_GA2"
"604","E","2",67.2,"Fair","maz_po_GA2"
"605","E","3",69.9,"Good","maz_po_GA2"
"606","E","4",73.11,"Good","maz_po_GA2"
"607","E","5",71,"Good","maz_po_GA2"
"608","E","6",73.1,"Good","maz_po_GA2"
"609","E","7",57.7,"Fair","maz_po_GA2"
"610","E","8",68,"Fair","maz_po_GA2"
"611","F","1",58.8,"Fair","maz_po_GA2"
"612","F","2",46,"Poor","maz_po_GA2"
"613","F","3",61.4,"Fair","maz_po_GA2"
"614","F","4",67.28,"Fair","maz_po_GA2"
"615","F","5",55.55,"Fair","maz_po_GA2"
"616","F","6",77.6,"Good","maz_po_GA2"
"617","F","7",59.9,"Fair","maz_po_GA2"
"618","F","8",48.7,"Poor","maz_po_GA2"
"619","G","1",47,"Poor","maz_po_GA2"
"620","G","2",61.6,"Fair","maz_po_GA2"
"621","G","3",58.9,"Fair","maz_po_GA2"
"622","G","4",65.67,"Fair","maz_po_GA2"
"623","G","5",62.1,"Fair","maz_po_GA2"
"624","G","6",74.8,"Good","maz_po_GA2"
"625","G","7",55.6,"Fair","maz_po_GA2"
"626","G","8",54.8,"Fair","maz_po_GA2"
"627","H","1",64.5,"Fair","maz_po_GA2"
"628","H","2",70.4,"Good","maz_po_GA2"
"629","H","3",87,"Excellent","maz_po_GA2"
"630","H","4",71.23,"Good","maz_po_GA2"
"631","H","5",66.3,"Fair","maz_po_GA2"
"632","H","6",58.3,"Fair","maz_po_GA2"
"633","H","7",47.9,"Poor","maz_po_GA2"
"634","A","1",83.3,"Excellent","ramian_GA1"
"635","A","2",56.4,"Fair","ramian_GA1"
"636","A","3",83.8,"Excellent","ramian_GA1"
"637","A","4",71.7,"Good","ramian_GA1"
"638","A","5",74.4,"Good","ramian_GA1"
"639","A","6",71.5,"Good","ramian_GA1"
"640","A","7",78.5,"Good","ramian_GA1"
"641","A","8",68,"Fair","ramian_GA1"
"642","B","1",80.6,"Excellent","ramian_GA1"
"643","B","2",83.7,"Excellent","ramian_GA1"
"644","B","3",83.8,"Excellent","ramian_GA1"
"645","B","4",66.6,"Fair","ramian_GA1"
"646","B","5",58.7,"Fair","ramian_GA1"
"647","B","6",81.2,"Excellent","ramian_GA1"
"648","B","7",60.1,"Fair","ramian_GA1"
"649","B","8",46.2,"Poor","ramian_GA1"
"650","C","1",86.5,"Excellent","ramian_GA1"
"651","C","2",83.9,"Excellent","ramian_GA1"
"652","C","3",77.9,"Good","ramian_GA1"
"653","C","4",82.4,"Excellent","ramian_GA1"
"654","C","5",68.4,"Fair","ramian_GA1"
"655","C","6",78.4,"Good","ramian_GA1"
"656","C","7",91.2,"Excellent","ramian_GA1"
"657","C","8",44.7,"Poor","ramian_GA1"
"658","D","1",80.1,"Excellent","ramian_GA1"
"659","D","2",84.8,"Excellent","ramian_GA1"
"660","D","3",81.4,"Excellent","ramian_GA1"
"661","D","4",67,"Fair","ramian_GA1"
"662","D","5",76.5,"Good","ramian_GA1"
"663","D","6",71.9,"Good","ramian_GA1"
"664","D","7",87.6,"Excellent","ramian_GA1"
"665","D","8",73.5,"Good","ramian_GA1"
"666","E","1",70.4,"Good","ramian_GA1"
"667","E","2",69.8,"Fair","ramian_GA1"
"668","E","3",74.2,"Good","ramian_GA1"
"669","E","4",80,"Excellent","ramian_GA1"
"670","E","5",71.3,"Good","ramian_GA1"
"671","E","6",78.8,"Good","ramian_GA1"
"672","E","7",78.5,"Good","ramian_GA1"
"673","E","8",73.2,"Good","ramian_GA1"
"674","F","1",79.1,"Good","ramian_GA1"
"675","F","2",87.6,"Excellent","ramian_GA1"
"676","F","3",81.4,"Excellent","ramian_GA1"
"677","F","4",87.6,"Excellent","ramian_GA1"
"678","F","5",84.4,"Excellent","ramian_GA1"
"679","F","6",82,"Excellent","ramian_GA1"
"680","F","7",85.5,"Excellent","ramian_GA1"
"681","F","8",83.4,"Excellent","ramian_GA1"
"682","G","1",56,"Fair","ramian_GA1"
"683","G","2",87.6,"Excellent","ramian_GA1"
"684","G","3",87,"Excellent","ramian_GA1"
"685","G","4",87.6,"Excellent","ramian_GA1"
"686","G","5",87.6,"Excellent","ramian_GA1"
"687","G","6",81.6,"Excellent","ramian_GA1"
"688","G","7",79,"Good","ramian_GA1"
"689","G","8",86.5,"Excellent","ramian_GA1"
"690","H","1",83.8,"Excellent","ramian_GA1"
"691","H","2",86.3,"Excellent","ramian_GA1"
"692","H","3",87,"Excellent","ramian_GA1"
"693","H","4",87.5,"Excellent","ramian_GA1"
"694","H","5",85.2,"Excellent","ramian_GA1"
"695","H","6",87.2,"Excellent","ramian_GA1"
"696","H","7",77.8,"Good","ramian_GA1"
"697","A","1",55.9,"Fair","ramian_GA2"
"698","A","2",66.9,"Fair","ramian_GA2"
"699","A","3",67.3,"Fair","ramian_GA2"
"700","A","4",59.2,"Fair","ramian_GA2"
"701","A","5",49,"Poor","ramian_GA2"
"702","A","6",50.8,"Fair","ramian_GA2"
"703","A","7",44.4,"Poor","ramian_GA2"
"704","A","8",74.4,"Good","ramian_GA2"
"705","B","1",80.5,"Excellent","ramian_GA2"
"706","B","2",67.3,"Fair","ramian_GA2"
"707","B","3",67.2,"Fair","ramian_GA2"
"708","B","4",65.5,"Fair","ramian_GA2"
"709","B","5",60.5,"Fair","ramian_GA2"
"710","B","6",54.6,"Fair","ramian_GA2"
"711","B","7",58,"Fair","ramian_GA2"
"712","B","8",82.4,"Excellent","ramian_GA2"
"713","C","1",72.6,"Excellent","ramian_GA2"
"714","C","2",69.4,"Good","ramian_GA2"
"715","C","3",69.2,"Good","ramian_GA2"
"716","C","4",66.9,"Fair","ramian_GA2"
"717","C","5",76.6,"Good","ramian_GA2"
"718","C","6",72.5,"Good","ramian_GA2"
"719","C","7",78.5,"Good","ramian_GA2"
"720","C","8",70.8,"Good","ramian_GA2"
"721","D","1",87,"Excellent","ramian_GA2"
"722","D","2",84.4,"Excellent","ramian_GA2"
"723","D","3",84.3,"Excellent","ramian_GA2"
"724","D","4",87.3,"Excellent","ramian_GA2"
"725","D","5",83,"Excellent","ramian_GA2"
"726","D","6",82.1,"Excellent","ramian_GA2"
"727","D","7",63.3,"Fair","ramian_GA2"
"728","D","8",64.8,"Fair","ramian_GA2"
"729","E","1",82.1,"Excellent","ramian_GA2"
"730","E","2",73.6,"Good","ramian_GA2"
"731","E","3",77.4,"Good","ramian_GA2"
"732","E","4",75.7,"Good","ramian_GA2"
"733","E","5",74.9,"Good","ramian_GA2"
"734","E","6",89.1,"Excellent","ramian_GA2"
"735","E","7",64.2,"Fair","ramian_GA2"
"736","E","8",55.1,"Fair","ramian_GA2"
"737","F","1",88.4,"Excellent","ramian_GA2"
"738","F","2",71,"Good","ramian_GA2"
"739","F","3",82.1,"Excellent","ramian_GA2"
"740","F","4",75.9,"Good","ramian_GA2"
"741","F","5",79.3,"Good","ramian_GA2"
"742","F","6",87,"Excellent","ramian_GA2"
"743","F","7",69.5,"Good","ramian_GA2"
"744","F","8",61.3,"Fair","ramian_GA2"
"745","G","1",84.6,"Excellent","ramian_GA2"
"746","G","2",73.8,"Good","ramian_GA2"
"747","G","3",77.6,"Good","ramian_GA2"
"748","G","4",62.1,"Fair","ramian_GA2"
"749","G","5",76.5,"Good","ramian_GA2"
"750","G","6",66.3,"Fair","ramian_GA2"
"751","G","7",79.6,"Good","ramian_GA2"
"752","G","8",64.5,"Fair","ramian_GA2"
"753","H","1",77.8,"Good","ramian_GA2"
"754","H","2",84.8,"Excellent","ramian_GA2"
"755","H","3",70.6,"Good","ramian_GA2"
"756","H","4",70.1,"Good","ramian_GA2"
"757","H","5",80.4,"Excellent","ramian_GA2"
"758","H","6",80.1,"Excellent","ramian_GA2"
"759","H","7",73.9,"Good","ramian_GA2"
